Title,Abstract,PCE ID,Decision,Publication Year,Publication Type,Reason
"Utilization of prescription medications and medications labelled for suicide risk among veterans with post-traumatic stress disorder, bipolar affective disorder, major affective disorder and/or schizophrenia in a pragmatic randomized trial","OBJECTIVES: To describe the prescription drug utilization of 243 Veterans with post-traumatic stress disorder, schizophrenia, bipolar disorder or major affective disorder who both enrolled and completed at least 2 assessments for a pragmatic randomized trial of blister packaging versus dispensing as usual of all prescribed medications in Denver, Colorado between 2012 and 2014. The intervention was designed to improve adherence and reduce suicide risk. METHODS: Trial records were linked to VHA Corporate Data Warehouse (CDW) prescription fill records for the study period by unique patient ID. This study was reviewed and approved by the VISNs 2 and 19 Human Subjects Review Boards and the Department of Defense Human Research Protections Office. RESULTS: 236 (97.1%) of these Veterans filled at least one prescription for a tablet or capsule drug product at the VA outpatient pharmacy while enrolled in the study. Subjects were enrolled for a mean of 9.4 months during which time they filled a total of 5,939 tablet and capsule prescriptions. The most prevalent drug classes were antidepressants (CN609) (17%) and anticonvulsants (CN400) (12%). The most frequent drug products dispensed were trazodone (6%), sertraline (5%), prazosin (5%), omepra-zole (4%), and gabapentin (4%). CONCLUSIONS: This pragmatic randomized trial was designed to improve medication adherence among Veterans who may be at elevated risk of suicide or overdose due to schizophrenia or bipolar disorder, for example. Both are associated with increased risk of suicide. The most prevalenet prescription medications in this pragmatic trial were antidepressants and antic-onvulsants, all of which are labelled for risk of suicidal ideation and behavior. Further examination of combination prescribing refinement of warning labels for suicide risk may support future adherence and prevention efforts. LIMITATIONS: Prescription fills outside of VA were not observed.",521,Exclude,2017,Conference Abstract,Study design
Using actigraphy to measure the effects of selective serotonin reuptake inhibitors on night-to-night variability in awakenings,"Introduction: Selective serotonin reuptake inhibitors (SSRIs) have been associated with various sleep disturbances, including increased awakenings. However, studies have typically employed polysomnography to examine this relationship. Actigraphy affords the benefit of collecting information over a longer duration, allowing for the observation of nightly variation in sleep parameters. Methods: Twenty-four subjects with posttraumatic stress disorder and major depressive disorder (63% male; M = 51.95, SD = 10.20) wore actigraphs over a period of one week. Approximately one-third of these patients were prescribed SSRIs, including citalopram, fluoxetine, paroxetine, and sertraline. These cross-sectional data were analyzed using ANOVA techniques. Results: There were significant differences between individuals who were and were not taking SSRIs. Individuals prescribed SSRIs were more likely to have an increase in the night-to-night variability in the frequency of awakenings F(1,21) = 7.117 (P = 0.02), and a tendency towards more nightly variability in the percentage of time spent awake in bed F(1,21) = 4.159 (P = 0.06). As expected, individuals who received SSRIs had more frequent awakenings F(1,23) = 7.553 (P = 0.01), more wake time after sleep onset F(1,23) = 4.634 (P = 0.04), and a trend towards a higher percentage of time spent awake in bed F(1,23) = 3.299 (P = 0.08). Conclusion: Interestingly, SSRIs were associated with an increase in both the nightly variability of awakenings and percentage of time spent awake. Patients on SSRIs also experienced a greater number of awakenings, and spent (on average) more time awake than those not on SSRIs. These results extend and confirm polysomnography findings showing that SSRI use contributes to fragmented sleep. From a behavioral perspective, SSRIs may additionally hinder patients' abilities to establish a routine sleep/wake pattern.",519,Exclude,2010,Conference Abstract,Study design
Use of Antiepileptic Drugs for Nonepileptic Conditions: Psychiatric Disorders and Chronic Pain,"Antiepileptic drugs (AEDs) are commonly utilized for nonepileptic conditions, including various psychiatric disorders and pain syndromes. Evidence for their benefit in these nonepileptic conditions varies widely among different drugs, but there is, in general, a paucity of published multicenter randomized double-blind trials. Variable levels of evidence suggest that lamotrigine and the vagal nerve stimulator have antidepressant properties. Carbamazepine, valproate, lamotrigine, and oxcarbazepine appear to have mood stabilizing properties while gabapentin, pregabalin, and tiagabine have anxiolytic benefits. Barbiturates, topiramate, and possibly phenytoin may precipitate or exacerbate depression. Underlying depression and anxiety symptoms may be exacerbated by levetiracetam, while psychotic symptoms have rarely been reported with topiramate, levetiracetam, and zonisamide. Pregabalin, gabapentin, carbamazepine, and oxcarbazepine have been used to treat neuropathic pain such as postherpetic neuralgia, and diabetic polyneuropathy. Topiramate and divalproex sodium have utility in the prophylaxis or acute treatment of migraine. Further rigorous studies are needed to clarify the utility of AEDs in nonepileptic conditions. © 2007 The American Society for Experimental NeuroTherapeutics, Inc.",517,Exclude,2007,Article,Language
Treatment-resistant anxiety disorders: A literature review of drug therapy strategies,"Anxiety disorders are widespread psychiatric conditions with significant social and professional disability, poor quality of life, an increased risk of suicide, and frequent attendance of medical services. Serotonin reuptake inhibitors (SRI) and serotonin and norepinephrine reuptake inhibitors (SNRI) have demonstrated a rather robust efficacy for the treatment of most of anxiety disorders. Nevertheless a substantial number of patients are resistant or still suffer from residual symptoms despite this first line treatment. The objective of our paper is to review relevant studies for the pharmacologic management of anxiety disorders resistant to the first line treatment. For this purpose, we conducted a pubmed/medline search for double-blind placebo-controlled trials of treatment-resistant anxiety disorders. An adequate trial for a SRI in the treatment of obsessive-compulsive disorder (OCD) should continue for at least 12 weeks. Special considerations of the comorbidities and symptom profile could help in the choice of an appropriate pharmacotherapy. Several trials have highlighted the efficacy of antipsychotics as an add-on to SRI in treatment-resistant OCD such as haloperidol more so when comorbid with a tic disorder, or risperidone that can reduce OCD as well as depressive symptoms. Aripiprazole has been shown efficacious in two placebo-controlled double-blind trials, while the efficacy of quetiapine and olanzapine remains controversial. Other trials showed some efficacy of anticonvulsants (lamotrigine, topiramate), pindolol, memantin and N-acetylcystein as an adjunctive treatment to SRI for resistant OCD. Few trials have investigated selective serotonin reuptake inhibitors (SSRI) or SNRI resistant generalized anxiety disorder showing a failure of adjunctive therapy with olanzapine, quetiapine, ziprasidone and risperidone. These studies were underpowered and very limited in number. Adjunctive risperidone for resistant post-traumatic stress disorder (PTSD) showed benefit in some but not all trials. Olanzapine was beneficial for the reduction of the CAPS score in addition to the improvement of sleep disturbances. Furthermore, prazosin was efficacious by reducing PTSD symptoms, sleep disturbances, nightmares, and psychological distress. One double-blind placebo-controlled study was conducted to investigate treatment-resistant social phobia showing no benefit of pindolol add-on paroxetine. Our results demonstrate that the pharmacological management of treatment-resistant anxiety disorders is not sufficiently investigated in double-blind placebo-controlled trials, despite a growing evidence in favor of antipsychotics and some other pharmacological agents in resistant OCD and, to a lesser extent, PTSD. Hence, there is a crucial need for larger double-blind placebo-controlled trials for resistant anxiety disorders. Finally, being out of the scope of our review, we omitted studies of non-pharmacologic therapies.",515,Exclude,2015,Article,Review
Treatment-refractory posttraumatic stress disorder (TRPTSD): a review and framework for the future,"Post-traumatic stress disorder (PTSD) is a serious psychiatric consequence of trauma that occurs in a proportion of individuals exposed to life-threatening events. Trauma-focused psychotherapy is often recommended as first choice for those who do not recover spontaneously. But many individuals require medications. In the US, only paroxetine (PRX) and sertraline (SRT) are FDA approved for PTSD. But response and remission rates with these medications are low, so numerous other pharmacologic interventions have been tried. To date, there has not been a systematic review of the data on what are the best next-step pharmacologic strategies for individuals who fail standard treatments. To that end, we review 168 published trials of medications other than PRX or SRT and provide a detailed analysis of the 88/168 studies that describe alternative pharmacologic interventions in patients refractory to other treatment. We also review clinical factors relevant to treatment-refractory PTSD; the neurobiology of extinction, as well as evidence-based psychotherapy and neuromodulation strategies for this condition.",514,Exclude,2016,Article,Review
Treatment of sleep disturbances in posttraumatic stress disorder: A review,"Sleep disturbances are among the most commonly reported posttraumatic stress disorder (PTSD) symptoms. It is essential to conduct a careful assessment of the presenting sleep disturbance to select the optimal available treatment. Cognitive-behavioral therapies (CBTs) are at least as effective as pharmacologic treatment in the short-term and more enduring in their beneficial effects. Cognitive-behavioral treatment for insomnia and imagery rehearsal therapy have been developed to specifically treat insomnia and nightmares and offer promise for more effective relief of these very distressing symptoms. Pharmacotherapy continues to be an important treatment choice for PTSD sleep disturbances as an adjunct to CBT, when CBT is ineffective or not available, or when the patient declines CBT. Great need exists for more investigation into the effectiveness of specific pharmacologic agents for PTSD sleep disturbances and the dissemination of the findings to prescribers. The studies of prazosin and the findings of its effectiveness for PTSD sleep disturbance are examples of studies of pharmacologic agents needed in this area. Despite the progress made in developing more specific treatments for sleep disturbances in PTSD, insomnia and nightmares may not fully resolve.",510,Exclude,2012,Article,Review
Treatment of post-traumatic stress disorder nightmares at a veterans affairs medical center,"The effectiveness of medications for PTSD in general has been well studied, but the effectiveness of medicatio.ns prescribed specifically for post-traumatic stress disorder (PTSD) nightmares is less well known. This retrospective chart review examined the efficacy of various medications used in actual treatment of PTSD nightmares at one Veteran Affairs Hospital. Records at the Salem, VA Veterans Affairs Medical Center (VAMC) were examined from 2009 to 2013 to check for the efficacy of actual treatments used in comparis.on with treatments suggested in three main review articles. The final sample consisted of 327 patients and 478 separate medication trials involving 21 individual medications plus 13 different medication combinations. The three most frequently utilized medications were prazosin (107 trials), risperidone (81 trials), and quetiapine (72 trials). Five medications had 20 or more trials with successful results (partial to full nightmare cessation) in >50% of trials: risperidone (77%, 1.0–6.0 mg), clonidine (63%, 0.1–2.0 mg), quetiapine (50%, 12.5–800.0 mg), mirtazapine (50%; 7.5–30.0 mg), and terazosin (64%, 50.0–300.0 mg). Notably, olanzapine (2.5–10.0) was successful (full remission) in all five prescription trials in five separate patients. Based on the clinical results, the use of risperidone, clonidine, terazosin, and olanzapine warrants additional investigation in clinically controlled trials as medications prescribed specifically for PTSD nightmares.",508,Exclude,2016,Article,Study design
Treatment of narcolepsy and other hypersomnias of central origin: An American Academy of Sleep Medicine review,"Objective: The purpose of this paper is to summarize current knowledge about treatment of narcolepsy and other hypersomnias of central origin. Methods: The task force performed a systematic and comprehensive review of the relevant literature and graded the evidence using the Oxford grading system. This paper discusses the strengths and limitations of the available evidence regarding treatment of these conditions, and summarizes key information about safety of these medications. Our findings provide the foundation for development of evidence-based practice parameters on this topic by the Standards of Practice Committee of the American Academy of Sleep Medicine. Results: The majority of recent papers in this field provide information about use of modafinil or sodium oxybate for treatment of sleepiness associated with narcolepsy. Several large randomized, placebo-controlled studies indicate that modafinil and sodium oxybate are effective for treatment of hypersomnia due to narcolepsy. We identified no studies that report direct comparison of these newer medications versus traditional stimulants, or that indicate what proportion of patients treated initially with these medications require transition to traditional stimulants or to combination therapy to achieve adequate alertness. As with the traditional stimulants, modafinil and sodium oxybate provide, at best, only moderate improvement in alertness rather than full restoration of alertness in patients with narcolepsy. Several large randomized placebo-controlled studies demonstrate that sodium oxybate is effective for treatment of cataplexy associated with narcolepsy, and earlier studies provide limited data to support the effectiveness of fluoxetine and tricyclic antidepressants for treatment of cataplexy. Our findings indicate that very few reports provide information regarding treatment of special populations such as children, older adults, and pregnant or breastfeeding women. The available literature provides a modest amount of information about improvement in quality of life in association with treatment, patient preferences among the different medications, or patient compliance. Conclusion: Several recent studies provide evidence that modafinil and sodium oxybate are effective for treatment of hypersomnia due to narcolepsy. No studies were identified that report direct comparison of these newer medications with traditional stimulants. Despite significant advances in understanding the pathophysiology of narcolepsy, we do not have an ideal treatment to restore full and sustained alertness. Future investigations should be directed toward development of more effective and better tolerated therapies, and primary prevention.",506,Exclude,2007,Article,Review
Treatment of cognitive decline and psychiatric disturbances associated with alzheimer's dementia,"Alzheimer's dementia (AD) is the most common type of dementia. In addition to the cognitive and functional disturbances that happen as the disease progresses, other psychological disturbances may manifest. Depression, insomnia, anxiety, and psychosis are among several psychological conditions which can occur concomitantly with AD. These changes can result in decreased quality of life for both patients and caregivers, increase caregiver burden, and impact the decision to place a patient with AD into a long-term care facility. An evidence-based review of the literature was performed to ascertain if a specific recommendation for pharmacotherapy can be made based on current research in this specific patient population. © 2007 Sage Publications.",505,Exclude,2007,Article,Disease
Treatment of anxiety disorders in epilepsy: An evidence-based approach,"During recent years growing attention has been paid to psychiatric comorbidities in epilepsy. However, anxiety disorders still remain underrecognized and undertreated. This is largely related to the lack of specific screening instruments and the frequent co-occurrence with mood disorders. Data on treatment are insufficient and clinical practice still relies heavily on individual experience. In this article we review evidence-based treatment strategies for primary major anxiety disorders and adapt them to the specific needs of patients with epilepsy. In panic disorder, a combined approach, namely serotonin-reuptake inhibitors (SSRIs) and cognitive behavioral therapy (CBT) is always indicated during the acute phase. Long-term maintenance treatment may include combined therapy or CBT alone depending on individual cases. For generalized anxiety disorders pregabalin has to be considered first choice for short-term and long-term treatment. In social anxiety disorder and posttraumatic stress disorder SSRIs, in particular sertraline and paroxetine, can be safely used. Obsessive-compulsive disorder represents a serious condition that needs to be approached in a psychiatric setting. CBT should be considered as the first choice in patients with epilepsy. If drug treatment is needed, epileptologists have to be aware that high-dose antidepressants are appropriate and that SSRIs, in particular sertraline, should be considered first choice. In these patients, careful clinical monitoring is indicated, in selected cases, for potential seizure precipitation and side effects due to pharmacodynamics interactions. © Wiley Periodicals, Inc. © 2013 International League Against Epilepsy.",504,Exclude,2013,Article,Disease
Fluoxetine in posttraumatic stress disorder,"Background: This study was designed to establish the efficacy of the serotonin reuptake blocker fluoxetine in the treatment of posttraumatic stress disorder (PTSD). Method: 64 subjects (22 women and 42 men; 31 veterans and 33 nonveterans) with PTSD entered a 5-week randomized double-blind trial comparing fluoxetine (N = 33) and placebo (N = 31). Results: By Week 5 fluoxetine, but not placebo, significantly reduced overall PTSD symptomatology, as assessed by the Clinician-Administered PTSD Scale (CAPS) score. Changes were most marked in the arousal and numbing symptom subcategories. Non-VA patients responded much better than VA patients. Fluoxetine was an effective antidepressant independent of its effects on PTSD. Conclusion: Fluoxetine is an effective pharmacotherapeutic agent for treating PTSD and its associated features, particularly in patients without chronic treatment histories.",217,Include,1994,Article,
"Failed efficacy of fluoxetine in the treatment of posttraumatic stress disorder: Results of a fixed-dose, placebo-controlled study","A multicenter, double-blind, 12-week, placebo-controlled trial of 411 randomized patients, predominantly women diagnosed with posttraumatic stress disorder, failed to show a difference between either dose of fluoxetine treatment and placebo. The mean changes from baseline (SD) measured by the Clinician-Administered PTSD Scale scores were -42.9 (23.1), -42.8 (27.9), and -36.6 (25.7) in the 20-mg fluoxetine, 40-mg fluoxetine, and placebo arms, respectively. Placebo response rate was substantially higher in this study than in a previously published fluoxetine trial of posttraumatic stress disorder. © 2007 Lippincott Williams & Wilkins, Inc.",214,Include,2007,Article,
"Efficacy of sertraline in preventing relapse of posttraumatic stress disorder: Results of a 28-week double-blind, placebo-controlled study","Objective: The study examined the efficacy of sertraline, compared with placebo, in sustaining improvement and preventing relapse over 28 weeks in patients with posttraumatic stress disorder (PTSD) who had completed a 12-week double-blind, placebo-controlled acute treatment study and a subsequent 24-week open-label study of continuation treatment with sertraline. Method: Ninety-six patients were randomly assigned, in a double-blind design, to 28 weeks of maintenance treatment with sertraline (50-200 mg, N=46; 78% were women) or placebo (N=50; 62% were women). Measures used in biweekly assessments included the Clinician-Administered PTSD Scale, the Impact of Event Scale, and the Clinical Global Impression severity and improvement ratings. Kaplan-Meier analyses were used to estimate time to discontinuation from the study due to relapse, relapse or study discontinuation due to clinical deterioration, and acute exacerbation. Results: Continued treatment with sertraline yielded lower PTSD relapse rates than placebo (5% versus 26%). Patients who received placebo were 6.4 times as likely to experience relapse as were patients who received sertraline. Kaplan-Meier analyses confirmed the protective effect of sertraline in significantly extending time in remission. The ability of sertraline to sustain improvement was comparable across the three core PTSD symptom clusters (reexperiencing/intrusion, avoidance/numbing, and hyperarousal). A regression analysis found early response during acute treatment to be associated with a more than 16-fold reduced risk of relapse after placebo substitution. Sertraline, at a mean endpoint dose of 137 mg, was well tolerated, with no sertraline-related adverse events observed at a rate of 10% or higher. Conclusions: The results provide evidence for the ability of sertraline both to sustain improvement in PTSD symptoms and to provide prophylactic protection against relapse.",195,Include,2001,Article,
Efficacy of sertraline in posttraumatic stress disorder secondary to interpersonal trauma or childhood abuse,"Background. In posttraumatic stress disorder (PTSD), the nature of the trauma and the age of occurrence may have substantial effects on psychobiological sequelae and treatment response. Interpersonal trauma (physical/sexual assault) and childhood abuse are both prevalent and associated with later PTSD. This analysis was conducted to specifically assess the efficacy of sertraline in the treatment of PTSD secondary to interpersonal trauma or childhood abuse.Methods. 395 adult patients with PTSD were randomized to 12-weeks double-blind treatment with flexible dose sertraline (50-200 mg/d) or placebo. Patients with different index traumas were compared in terms of baseline demographic and clinical characteristics, as well as treatment response. Primary efficacy variables included part 2 of the Clinician Administered PTSD Scale (CAPS-2).Results. Interpersonal trauma and childhood abuse were both more common in females than males, and were associated with early age at time of index trauma and longer duration of PTSD, but not with PTSD symptom severity. Sertraline was significantly more effective than placebo on most primary efficacy variables, irrespective of whether patients had experienced interpersonal trauma or childhood abuse.Conclusions. These data demonstrate that sertraline is valuable for the treatment of PTSD, irrespective of whether the precipitating trauma involves interpersonal trauma in general, or childhood abuse in particular. Copyright © American Academy of Clinical Psychiatrists.",194,Include,2006,Article,
Efficacy and safety of sertraline treatment of posttraumatic stress disorder: A randomized controlled trial,"Context: Despite the high prevalence, chronicity, and associated comorbidity of posttraumatic stress disorder (PTSD) in the community, few placebo-controlled studies have evaluated the efficacy of pharmacotherapy for this disorder. Objective: To determine if treatment with sertraline hydrochloride effectively diminishes symptoms of PTSD of moderate to marked severity. Design: Twelve-week, double-blind, placebo-controlled trial preceded by a 2-week, single-blind placebo lead-in period, conducted between May 1996 and June 1997. Setting: Outpatient psychiatric clinics in 8 academic medical centers and 6 clinical research centers. Patients: A total of 187 outpatients with a Diagnostic and Statistical Manual of Mental Disorders, Revised Third Edition diagnosis of PTSD and a Clinician Administered PTSD Scale Part 2 (CAPS-2) minimum total severity score of at least 50 at baseline (mean age, 40 years; mean duration of illness, 12 years; 73% were women; and 61.5% experienced physical or sexual assault). Intervention: Patients were randomized to acute treatment with sertraline hydrochloride in flexible daily dosages of 50 to 200 mg/d, following 1 week at 25 mg/d (n=94); or placebo (n=93). Main Outcome Measures: Baseline-to-end-point changes in CAPS-2 total severity score, Impact of Event Scale total score (IES), and Clinical Global Impression-Severity (CGIS), and CGI-Improvement (CGI-I) ratings, compared by treatment vs placebo groups. Results: Sertraline treatment yielded significantly greater improvement than placebo on 3 of the 4 primary outcome measures (mean change from baseline to end point for CAPS-2 total score, - 33.0 vs -23.2 [P=.02], and for CGI-S, -1.2 vs -0.8 [P=.01]; mean CGI-I score at end point, 2.5 vs 3.0 [P=.02]), with the fourth measure, the I ES total score, showing a trend toward significance (mean change from baseline to end point, -16.2 vs -12.1; P=.07). Using a conservative last-observation-carried- forward analysis, treatment with sertraline resulted in a responder rate of 53% at study end point compared with 32% for placebo (P=.008, with responder defined as >30% reduction from baseline in CAPS-2 total severity score and a CGI-I score of 1 [very much improved], or 2 [much improved]). Significant (P<.05) efficacy was evident for sertraline from week 2 on the CAPS-2 total severity score. Sertraline had significant efficacy vs placebo on the CAPS-2 PTSD symptom clusters of avoidance/numbing (P=.02) and increased arousal (P=.03) but not on reexperiencing/intrusion (P=.14). Sertraline was well tolerated, with insomnia the only adverse effect reported significantly more often than placebo (16.0% vs 4.3 %; P=.01). Conclusions: Our data suggest that sertraline is a safe, well-tolerated, and effective treatment for PTSD.",186,Include,2000,Article,
"Efficacy and safety of paroxetine treatment for chronic PTSD: A fixed-dose, placebo-controlled study","Objective: This study evaluated the efficacy and safety of paroxetine for the treatment of patients with chronic posttraumatic stress disorder (PTSD). Method: Outpatients with chronic PTSD according to DSM-IV criteria and a score of 50 or more on the Clinician-Administered PTSD Scale, part 2, were randomly assigned to take placebo (N=186), 20 mg/day of paroxetine (N=183), or 40 mg/day of paroxetine (N=182) for 12 weeks. Efficacy was assessed by examining the change in total score from baseline to endpoint on the Clinician-Administered PTSD Scale, part 2, and rates of response (""very much improved"" or ""much improved"") for global improvement on the Clinical Global Impression scale. Results: Paroxetine-treated patients in both dose groups demonstrated significantly greater improvement on primary outcome measures compared to placebotreated patients in the intent-to-treat analysis. Moreover, paroxetine treatment resulted in statistically significant improvement compared to placebo on all three PTSD symptom clusters (reexperiencing, avoidance/numbing, and hyperarousal), social and occupational impairment, and comorbid depression. Paroxetine was effective for both men and women. Treatment response did not vary by trauma type, time since trauma, or severity of baseline PTSD or depressive symptoms. Both doses were well tolerated. Conclusions: Doses of 20 and 40 mg/day of paroxetine are effective and well tolerated in the treatment of adults with chronic PTSD.",183,Include,2001,Article,
Effects of venlafaxine extended release on resilience in posttraumatic stress disorder: An item analysis of the Connor-Davidson Resilience Scale,"The aim was to evaluate the efficacy of venlafaxine extended release (ER) on characteristics of resilience, measured by the Connor-Davidson Resilience Scale, in patients with posttraumatic stress disorder (PTSD). Data were evaluated from a randomized, 6-month, international, multicenter study of adult outpatients with a primary diagnosis of Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition PTSD for ? 6 months, and 17-item Clinician-Administered PTSD Scale score ? 60. Patients were assigned randomly to treatment with flexible-dose venlafaxine ER (37.5-300 mg/day) or placebo. Changes from baseline scores and effect sizes of response to treatment with venlafaxine ER compared with placebo were computed for each item, as well as for the newly developed 2-item and 10-item subscales. Effect sizes across items ranged from 0.41 (moderate) to 0.08 (very weak). The effect size for the Resilience Scale-2 (2-item subscale) was 0.32, which was comparable to the effect sizes of 0.35 for the 25-item full scale and 0.34 for the 10-item subscale. Venlafaxine ER improved resilience on individual Connor-Davidson Resilience Scale items that reflect four factors (hardiness, persistence/tenacity, social support, and faith in a benevolent or meaningful world), to varying degrees in patients with PTSD. The findings suggest that assessment of treatment response might be enhanced by routine evaluation of resilience. © 2008 Wolters Kluwer Health | Lippincott Williams & Wilkins.",178,Include,2008,Article,
Comparison between paroxetine and behaviour therapy in patients with posttraumatic stress disorder (PTSD): A pilot study,"Antidepressants and cognitive-behavioural therapy (CBT) have been reported to decrease severity of psychopathology in PTSD-patients. To date, no study has been carried out which compares psychopharmacological and psychotherapeutic treatments. In a randomized pilot study, PTSD-patients were treated either with paroxetine or CBT. Diagnoses were made by structured clinical interviews (ADIS, CAPS). The duration of treatment was 3 months; the paroxetine dosage was 10-50 mg; exposure and cognitive restructuring were the main elements in cognitive-behavioural therapy. Twenty-one patients were included. Drop-outs in both groups occurred within the first 2 weeks. Paroxetine and CBT significantly decreased PTSD-symptoms (CAPS) as well as concurrent depression (MADRS) after 3 months treatment. At 6 month follow-up, symptoms of PTSD had slightly increased in the paroxetine group and further decreased in the cognitive-behavioural therapy group.",114,Include,2004,Article,
COMBINED MIRTAZAPINE and SSRI TREATMENT of PTSD: A PLACEBO-CONTROLLED TRIAL,"Background Combined treatment with a selective serotonin reuptake inhibitor (SSRI) plus mirtazapine has shown superior efficacy in some studies of depression, but has not been studied in posttraumatic stress disorder (PTSD). This study aimed to assess acceptability of combined sertraline plus mirtazapine treatment for PTSD and to estimate its effect size relative to sertraline plus placebo. Methods Thirty-six adults with PTSD were randomized to 24 weeks of double-blind treatment with sertraline plus mirtazapine or sertraline plus placebo. Outcomes were analyzed with mixed effects models. Results The combined treatment group showed a significantly greater remission rate (P =.042) and improvement in depressive symptoms (P =.023) than the sertraline plus placebo group. There were no significant group differences in the two primary outcomes of treatment retention and PTSD severity, or in other secondary outcomes (sleep impairment, sexual functioning, quality of life, and physical and mental functioning), but the combined treatment group showed numerical advantages on all of these outcomes, and effect sizes relative to sertraline plus placebo ranged from small to moderate (d =.26-.63). Both treatments were well-tolerated, with significantly increased appetite but not weight gain in the combined treatment group. Conclusion Findings suggest that combined treatment of PTSD with sertraline plus mirtazapine may have clinically meaningful advantages in symptomatic improvement, relative to SSRI treatment alone, and acceptable tolerability. Combined treatment with an SSRI plus mirtazapine in PTSD deserves additional study as initial treatment or as an augmentation strategy for nonresponders to an SSRI.",107,Include,2015,Article,
Clinical effect of converting antidepressant therapy from fluoxetine to sertraline,"The effect of replacing fluoxetine with sertraline at two dosage- conversion ratios was studied. Outpatients at a Veterans Affairs mental health clinic who were being treated with fluoxetine were randomly assigned to receive either 50 or 75 mg of sertraline hydrochloride for every 20 mg of fluoxetine (as the hydrochloride salt) or to continue to receive their current dosage of fluoxetine. The subjects were given the Hamilton Depression Rating Scale (HDRS) and the Beck Depression Inventory (BDI) at baseline and were re-examined at one-month intervals for three months with the HDRS and BDI and the Clinical Global Impression of Change. Each patient was re- evaluated by the same blinded investigator. A total of 45 patients (42 men and 3 women) completed the study. The final overall response did not differ significantly among the three groups. There were also no significant differences among the groups in the proportions of patients with HDRS and BDI scores classified as proving, worsening, or not changing. Improvement was more common in patients receiving the higher dosage of sertraline. Few adverse effects were reported. Outpatients receiving fluoxetine were switched to sertraline therapy without a loss of control of depression and without substantial adverse effects.",96,Include,1995,Article,
Characterizing the effects of sertraline in post-traumatic stress disorder,"Background. Sertraline has a proved efficacy in post-traumatic stress disorder (PTSD), but it is unknown which symptoms respond or in what sequence this occurs. Such information might be useful clinically and heuristically. Method. The study examined the effects of sertraline on the individual symptoms of PTSD. It also examined whether early changes in anger explained drug-induced change in other symptoms over time. Mixed models analysis was applied to datasets from two 12-week placebo-controlled trials of sertraline. A validated self-rating scale (DTS) was used to assess treatment efficacy. Results. Sertraline was superior to placebo on 15 of 17 symptoms, especially in the numbing and hyperarousal clusters. A strong effect was found on anger from week 1, which partly explained the subsequent effects of sertraline on other symptoms, some of which began to show significantly greater response to drug than to placebo at week 6 (emotional upset at reminders, anhedonia, detachment, numbness, hypervigilance) and week 10 (avoidance of activities, foreshortened future). Conclusions. Sertraline exercises a broad spectrum effect in PTSD. Effects are more apparent on the psychological rather than somatic symptoms of PTSD, with an early modulation of anger and, perhaps, other affects, preceding improvement in other symptoms.",90,Include,2002,Article,
Treatment of traumatized refugees with Sertraline versus Venlafaxine in combination with psychotherapy - study protocol for a randomized clinical trial,"Background: Sufficient evidence is lacking to draw final conclusions on the efficiency of medical and psychological treatments of traumatized refugees with PTSD. The pharmacological treatments of choice today for post-traumatic stress disorder are antidepressants from the subgroup selective serotonin reuptake inhibitors, especially Sertraline. The evidence for the use of selective serotonin reuptake inhibitors in the treatment of complex post-traumatic stress disorder in traumatized refugees is very limited. Venlafaxine is a dual-action antidepressant that works on several pathways in the brain. It influences areas in the brain which are responsible for the enhanced anxiety and hyper-arousal experienced by traumatized refugees and which some studies have found to be enlarged among patients suffering from post-traumatic stress disorder.Design: This study will include approximately 150 patients, randomized into two different groups treated with either Sertraline or Venlafaxine. Patients in both groups will receive the same manual-based cognitive behavioral therapy, which has been especially adapted to this group of patients. The treatment period will be 6 to 7 months. The trial endpoints will be post-traumatic stress disorder and depressive symptoms and social functioning, all measured on validated ratings scales. Furthermore the study will examine the relation between a psycho-social resources and treatment outcome based on 15 different possible outcome predictors.Discussion: This study is expected to bring forward new knowledge on treatment and clinical evaluation of traumatized refugees and the results are expected to be used in reference programs and clinical guidelines.Trial registration: ClinicalTrials.gov NCT01569685. © 2013 Sonne et al.; licensee BioMed Central Ltd.",512,Exclude,2013,Article,Study design
